In_Temperature,In_Humidity,Out_Temperature,Out_Humidity,SP-19-01
39.1031637,23.60296025,28.30313802,33.58387141,0.073244206
39.08918898,23.55738664,28.20924479,33.69187523,0.073644242
38.99074286,23.58149589,28.11227865,33.86264826,0.073356716
38.81610335,23.67081203,27.98606771,34.03975423,0.072881673
38.70181328,23.72004781,27.87571615,34.1119126,0.072650401
38.59437705,23.74959945,27.75285807,34.15969662,0.072362875
38.49468477,23.779558,27.67097656,34.33315936,0.072119103
38.38493426,23.83128608,27.54416016,34.39601362,0.07187533
38.30660461,23.83784746,27.45697266,34.5162909,0.07175657
38.20219476,23.87279062,27.39822266,34.55789619,0.071475294
38.11086951,23.89659469,27.28855469,34.65716162,0.07121902
38.04455634,23.90681824,27.21216797,34.7174183,0.07100025
38.07437502,23.80972,27.21901693,34.81247536,0.071056505
37.98322779,23.84384934,27.28959635,34.79884135,0.07077523
37.97405966,23.77681137,27.26048177,34.98153813,0.070575211
38.03948272,23.6572315,27.41654948,34.93465309,0.070525207
38.1196816,23.526716,27.46127604,35.0338457,0.070531457
38.11327281,23.47544569,27.58753255,35.12108432,0.070443949
38.13410137,23.40678009,27.60825521,35.29159017,0.0704502
38.18012004,23.31446301,27.7302474,35.55097456,0.070368942
38.23210244,23.23008062,27.82719401,35.54706397,0.070387694
38.22453651,23.19584955,27.70646484,36.02572596,0.070425198
38.26396836,23.12097861,27.83731771,35.95989635,0.070512706
38.2683299,23.08242415,27.73776042,36.02203089,0.070543958
38.28995956,23.03003484,27.96015625,35.72381318,0.070462701
38.36214745,22.93044429,28.00248047,35.77522385,0.070487703
38.4510694,22.81900257,28.20223958,35.86049669,0.070512706
38.56722871,22.69184405,28.23154948,35.53239832,0.070675221
38.68045065,22.55731034,28.36570964,34.89144335,0.070706473
38.79901325,22.42292922,28.48032552,34.23031609,0.070968997
38.91303629,22.27588312,28.69632812,34.32603879,0.070956496
39.03907581,22.15462476,28.76747396,34.08915483,0.071062756
39.13173622,22.04954096,28.67942057,33.61741889,0.070918993
39.22279444,21.93443707,28.94942057,33.37451404,0.071081508
39.31029221,21.8231988,28.93485026,33.27401906,0.07110651
39.40580097,21.70997686,29.10120443,33.21231391,0.071100259
39.52738994,21.57422243,29.22884766,33.05208331,0.071169016
39.6447954,21.45581242,29.45760417,32.78620011,0.071162765
39.78712393,21.30042471,29.40289714,31.42676374,0.071081508
39.9201063,21.13282979,29.37514323,30.24467117,0.07100025
40.01321177,21.01818367,29.79509115,30.05065866,0.070931494
40.02264693,20.97276265,29.96403646,30.40147909,0.070881489
40.01614913,20.95440096,30.1158138,31.14846774,0.071069007
40.00965133,20.92749421,30.05690104,31.28416049,0.071019002
39.92918542,20.9735256,30.17630859,30.68439991,0.071062756
40.01561507,20.87800412,30.25188151,30.65482563,0.071094009
39.93149971,20.90979375,30.31799479,29.74471078,0.071294027
40.02309199,20.80069174,30.41098958,29.42012848,0.071244023
39.90969202,20.86086315,30.41013672,29.82326197,0.071419039
40.01677221,20.74703085,30.46947917,29.01341394,0.071362783
39.91218433,20.78675517,30.51448568,28.9155236,0.07143154
40.02772056,20.66941329,30.53471354,28.52670322,0.071350282
39.90452939,20.72465095,30.52889974,28.77152428,0.071537799
40.02505023,20.58564126,30.49360026,28.89810664,0.071350282
39.91823707,20.62846825,30.59501953,28.89099532,0.071394036
40.03021286,20.50837975,30.61401693,28.89838662,0.071312779
39.90524147,20.57750312,30.57551432,29.43576571,0.071425289
40.02869968,20.45064978,30.54791667,29.42601952,0.071256524
39.89767554,20.53472699,30.49325521,29.36913126,0.071356533
