@relation 'Garbage Smell'
@attribute In_Temperature numeric
@attribute In_Humidity numeric
@attribute SB-51-00 numeric
@attribute SP-11-00 numeric
@attribute SP-19-01 numeric
@attribute TGS2602-B00 numeric
@attribute TGS2620-C00 numeric
@attribute SP-31-00 numeric
@attribute SP3S-AQ2-01 numeric
@attribute Average {'1','2','3','4','5','6','7','8','9','10'}
@data
25.12212304,50.76813916,0.163752492,0.083676411,0.066437333,3.135768338,0.372877888,0.199068225,0.197349318,3
25.13049007,50.70171155,0.165646415,0.080588628,0.066481087,3.142268933,0.374996832,0.199286995,0.198936963,3
25.11624832,50.67943338,0.16580268,0.078069647,0.065912284,3.146406812,0.374953078,0.199630777,0.2009809,3
25.14259556,50.56829684,0.167027792,0.075450658,0.06521222,3.152257348,0.375365616,0.199955807,0.202337275,3
25.12541644,50.54769716,0.167727856,0.072406629,0.065180967,3.155620156,0.376972013,0.200137073,0.204293704,3
25.1201648,50.51860329,0.167434079,0.069662628,0.064805933,3.159326745,0.378647166,0.200387096,0.204881257,3
25.12319117,50.43554335,0.167677851,0.066618599,0.064305887,3.163577134,0.380959878,0.200749629,0.20566883,3
25.14660105,50.30253554,0.167871619,0.063299545,0.06356832,3.16517103,0.384066412,0.201237174,0.203987426,3
25.14393072,50.2699321,0.167427828,0.060536792,0.063080775,3.167983788,0.38567906,0.201574705,0.204337458,3
25.12568348,50.22557921,0.167102799,0.057474012,0.062855755,3.169058886,0.388679335,0.201924737,0.203462378,3
25.12710765,50.13021032,0.167484084,0.05396119,0.062780748,3.168715105,0.393286006,0.202274769,0.200912144,3
25.13378347,50.04816765,0.168577934,0.051048424,0.062705741,3.170802796,0.396205024,0.202556045,0.200455852,3
25.12719666,50.0026449,0.170878144,0.048648204,0.063062024,3.173503043,0.397248869,0.202681056,0.201680964,3
25.12862084,49.93555606,0.173728405,0.046391747,0.063687081,3.175684493,0.399105289,0.202862323,0.202518541,3
25.12799776,49.90941227,0.173878419,0.044154042,0.063593322,3.179359829,0.4003179,0.203043589,0.203774906,3
25.12114392,49.85885405,0.174703495,0.041735071,0.063437058,3.180828714,0.402105564,0.203431125,0.203612391,3
25.11215381,49.80270085,0.177897537,0.039497366,0.064299637,3.181741297,0.40369946,0.203531134,0.2048,3
25.11544722,49.74720887,0.179391424,0.037534686,0.064362143,3.184247777,0.404505784,0.203768656,0.206181376,3
25.12942194,49.67040513,0.181904154,0.035078212,0.06477468,3.184804078,0.406693484,0.204012428,0.20600011,3
25.09390656,49.69868518,0.179547688,0.032915514,0.064562161,3.185654155,0.408562405,0.204231198,0.206737677,3
25.12514941,49.58225884,0.179103897,0.030496542,0.063968356,3.185747914,0.412787792,0.204724993,0.203843662,3
25.11304392,49.56466011,0.177510002,0.028333844,0.063555819,3.186816762,0.414669214,0.205037522,0.203793658,3
25.12239007,49.51283029,0.178397583,0.026739948,0.063249541,3.188529419,0.415181761,0.205300046,0.204318706,3
25.12808677,49.46318761,0.175847349,0.024977287,0.062630734,3.188585674,0.417281953,0.205581322,0.204062432,3
25.14312963,49.50438697,0.212206928,0.031102848,0.100865485,3.526960403,0.430445658,0.18218543,0.197143049,3
25.13707688,49.57391725,0.212700723,0.030115257,0.099009065,3.52179743,0.425020162,0.182985503,0.200568363,3
25.17223621,53.83245594,0.213269525,0.029221425,0.097408918,3.518422121,0.421319823,0.183654314,0.202443534,4
25.16983291,53.51689937,0.162239854,0.092470966,0.105665924,3.508202436,0.350913377,0.185804511,0.28081946,4
25.15799446,53.17748786,0.150820058,0.085551582,0.099265338,3.500770505,0.363527032,0.187854699,0.264649229,4
25.15763841,52.89972279,0.139869055,0.079119744,0.09492119,3.486412941,0.379053453,0.189092312,0.246910105,4
25.16609445,52.57984283,0.132587139,0.074688088,0.089833224,3.470699002,0.386722906,0.190936231,0.23440271,4
25.13930215,52.41016251,0.125148958,0.07077523,0.086001624,3.464554689,0.393261004,0.191980076,0.228983464,4
25.15728237,52.26718547,0.125911528,0.068456267,0.084038944,3.463973386,0.399599084,0.1927864,0.222557876,4
25.14464281,52.23849851,0.121717394,0.066099802,0.083832675,3.45899168,0.409618752,0.192648888,0.2173574,4
25.16048676,52.16245772,0.119267169,0.065606006,0.083082606,3.456728973,0.410437577,0.193055175,0.215563485,4
25.14722413,52.12726024,0.116485665,0.064493405,0.082238779,3.455003815,0.413137824,0.193317699,0.214007093,4
25.16030874,52.01810737,0.114397973,0.062962014,0.080982414,3.451772269,0.415906827,0.193874,0.210019228,4
25.15033951,52.00142418,0.113391631,0.061905668,0.080313603,3.451265973,0.416356869,0.19420528,0.210388012,4
25.14882633,51.94018463,0.112379039,0.060793066,0.07962604,3.450878437,0.417882008,0.19453656,0.208812867,4
25.1469571,51.88291244,0.112710319,0.060105503,0.078713456,3.453372416,0.416019338,0.194761581,0.211013069,4
25.1477582,51.77752346,0.111678975,0.05744901,0.077850877,3.44839071,0.421044798,0.195280378,0.204762497,4
25.15069556,51.69390402,0.112104013,0.05581136,0.077457091,3.446984331,0.422851213,0.195599158,0.203231106,4
25.14499886,51.62747641,0.113522893,0.054379979,0.077088308,3.445390435,0.423520024,0.196024197,0.202218514,4
25.13778897,51.54629842,0.113654155,0.051979759,0.076869538,3.442140137,0.427464136,0.196411732,0.198705692,4
25.12862084,51.4908573,0.113979185,0.050510874,0.076532007,3.440596246,0.428239206,0.196793017,0.19802438,4
25.13636479,51.40973017,0.11446673,0.048923229,0.075963205,3.439502396,0.428864264,0.197249309,0.197305564,4
25.13182523,51.3322652,0.113672907,0.046766782,0.075269391,3.43692091,0.431652019,0.197680598,0.194267786,4
25.12132194,51.28277511,0.114010438,0.045060375,0.074594329,3.435139496,0.432614607,0.198068134,0.193423958,4
25.15443402,51.09661504,0.113979185,0.042641404,0.07340047,3.431039121,0.435427365,0.19868694,0.188542262,4
25.15354391,51.01253783,0.114616743,0.040734979,0.072787914,3.428063849,0.435896157,0.199061975,0.187973459,4
25.14081534,50.94351619,0.116848198,0.038678541,0.072844169,3.424401013,0.437940095,0.199387004,0.186535828,4
25.13894611,50.87032375,0.118323333,0.037103397,0.072919176,3.420256884,0.438521398,0.19966203,0.18655458,4
25.12924392,50.83751685,0.119510942,0.036003296,0.072681654,3.420513157,0.437958846,0.19978079,0.188404749,4
25.14037029,50.73233132,0.121517375,0.03429689,0.07241288,3.417337867,0.438952687,0.200255834,0.186754598,4
25.11633733,50.74647135,0.12375508,0.033265546,0.072806666,3.414400098,0.438508897,0.200380845,0.188761032,4
25.14250655,50.62862084,0.126624093,0.032415468,0.072381627,3.414400098,0.437471302,0.200880891,0.188942298,4
25.12630655,50.59840798,0.127867957,0.030896579,0.072437882,3.413037473,0.4380026,0.200968399,0.189998645,4
25.12167798,50.52648712,0.128986809,0.029783977,0.071794073,3.411418575,0.437846336,0.201393438,0.189598608,4
25.13218128,50.43147428,0.129280586,0.028365097,0.070987749,3.409699667,0.438233872,0.201793475,0.189186071,4
25.11295491,50.40990819,0.130293179,0.02708373,0.07055646,3.408493307,0.437521306,0.202043498,0.190736212,4
25.13049007,50.29302408,0.135937445,0.026252403,0.071112761,3.406730646,0.436352449,0.202231015,0.192161343,4
25.13182523,50.19485771,0.134768588,0.024108457,0.07023768,3.40525551,0.438965188,0.202662304,0.189579857,4
25.12835381,50.09180845,0.133618483,0.022127026,0.068937561,3.403105314,0.440365317,0.20326861,0.187642179,4
25.11250985,50.04562448,0.131668305,0.02020185,0.06750618,3.400242552,0.441409162,0.20381241,0.186735846,4
25.12773073,49.91933064,0.130343183,0.01867671,0.065762271,3.39881117,0.441477919,0.20447497,0.185229458,4
25.12853183,49.79298594,0.128636777,0.016851543,0.064080867,3.397042259,0.442346748,0.205006269,0.184085604,4
25.09835711,49.76572315,0.127655437,0.01507013,0.062899509,3.395304599,0.442796789,0.205425057,0.183448045,4
25.12728567,49.59716182,0.128730536,0.013888772,0.061505631,3.395729638,0.442334247,0.205981358,0.182979252,4
25.11064062,49.53556624,0.129736878,0.012257372,0.060780565,3.394667041,0.442190484,0.206243882,0.183954342,4
25.10503293,49.45301493,0.130711967,0.010782237,0.05996174,3.392760617,0.44237175,0.206612666,0.183448045,4
25.11357799,49.38704509,0.135924944,0.010257189,0.060224264,3.394379515,0.439402729,0.206643919,0.18754217,4
25.11740546,49.28999771,0.138306412,0.009038327,0.059767972,3.393448179,0.439002692,0.2069877,0.188154726,4
25.10894942,48.15182727,0.08771428,0.019695553,0.052704825,3.288226046,0.548681483,0.213013252,0.054561245,4
25.11339996,48.84565499,0.107997387,0.005331738,0.052436051,3.362007801,0.482181645,0.210950563,0.131762063,4
25.11971974,48.87490145,0.11370416,0.003094033,0.051054674,3.373771378,0.465355105,0.210788048,0.149319921,4
25.11215381,48.90811526,0.114460479,0.002656493,0.049998327,3.376296609,0.458898263,0.2108068,0.156333063,4
25.10708019,48.94616108,0.114672999,0.002862762,0.048966983,3.374802722,0.456698062,0.211075575,0.158183232,4
25.12158897,49.68154421,0.115429318,0.002393969,0.048666956,3.376821657,0.453554024,0.211069324,0.163346205,4
25.13360545,49.73128862,0.143506888,0.019089248,0.063624575,3.398517394,0.347856847,0.203168601,0.245734998,4
25.12630655,49.83164213,0.143388128,0.018982988,0.063418306,3.396961001,0.348663171,0.203249858,0.247266388,4
25.16413621,51.80661733,0.099152828,0.003094033,0.056480171,3.329067285,0.434664795,0.208675355,0.147119719,5
25.16084281,52.19470512,0.130205671,0.026571183,0.08705797,3.285725817,0.430220638,0.200993401,0.209287911,5
25.13556369,52.39790443,0.14625089,0.031746656,0.08967696,3.305002582,0.407337293,0.199793292,0.236965445,5
25.15781643,52.35812924,0.155676753,0.033128033,0.091495877,3.311459423,0.39944282,0.199537018,0.245691244,5
25.14927138,52.38305231,0.164140027,0.033828097,0.09371483,3.314847233,0.393773551,0.199086977,0.254679567,5
25.1640472,52.34287022,0.172834573,0.033921856,0.096408826,3.315303525,0.391854625,0.198749446,0.258729937,5
25.1510516,52.28239363,0.18251671,0.031815413,0.100659216,3.302989898,0.398630246,0.198424416,0.25438579,5
25.15977468,52.30680807,0.197861865,0.034065619,0.105484657,3.314234677,0.387260455,0.197543086,0.268962124,5
25.16137687,52.26998296,0.211175584,0.034778184,0.109810053,3.317516228,0.381103641,0.19693053,0.276869098,5
25.15363292,52.2750693,0.223720482,0.03517197,0.114629245,3.319672675,0.376728241,0.196180461,0.284213521,5
25.13618677,52.26062409,0.23625913,0.034934448,0.119798468,3.319428903,0.375446873,0.195505399,0.288426406,5
25.16289006,52.18310826,0.249066553,0.03506571,0.124417641,3.320153969,0.372759127,0.195042857,0.292520531,5
25.1486483,52.18061596,0.260348836,0.035290731,0.129349342,3.321379081,0.36984636,0.194261535,0.299233646,5
