@relation 'Sensor Response'
@attribute In_Temperature numeric
@attribute In_Humidity numeric
@attribute Out_Temperature numeric
@attribute Out_Humidity numeric
@attribute TGS2620-C00 numeric
@data
38.91134508,20.92220442,28.5351237,37.41479926,1.316201752
38.9626154,20.90689453,28.51423828,37.10530857,1.317658135
39.02047252,20.88919407,28.71347656,36.7966851,1.318633224
39.11571425,20.83782203,28.78510417,36.77726405,1.320020852
39.21540653,20.78121106,28.85349609,36.5952442,1.321952278
39.37865263,20.66315709,28.90742839,36.82101759,1.322808607
39.41915262,20.66122428,29.073125,37.9556703,1.324502512
39.49890644,20.63035019,29.13511068,37.12909525,1.326758968
39.57883828,20.59138883,29.30401693,36.1144731,1.327827816
39.67096462,20.53523562,29.41489583,36.18276828,1.32884666
39.76852064,20.4757763,29.59172526,35.81412562,1.32994676
39.8794283,20.41255309,29.55215495,35.91388743,1.33223447
39.97618321,20.36072328,29.62341146,35.4498347,1.333190807
40.00991836,20.35614557,29.66419271,35.26775809,1.334378416
36.74953587,24.48706798,28.16218099,37.47474468,1.252402161
39.14633402,22.02487221,29.80416667,34.74031457,1.266284682
40.03181506,21.18537168,30.40296875,33.96125354,1.272403992
40.04036011,21.17474123,30.7550651,33.64958562,1.278860833
40.0516645,21.1575494,30.94932292,33.58580482,1.284742622
40.0459678,21.17733527,30.98105469,33.55604131,1.289024264
40.04409857,21.18684672,31.04973958,33.42566333,1.292562088
40.03368429,21.19946085,31.05934245,33.64569599,1.295581114
40.05184253,21.19727372,31.09446615,33.83779056,1.298550136
40.05709417,21.2163475,31.08182292,33.80949053,1.301531659
40.04481066,21.24773022,31.10336589,33.55306344,1.303819368
40.05255461,21.2423387,31.06912109,33.33117024,1.306094577
40.04098319,21.26914371,31.0588151,33.17485422,1.307732226
40.04454363,21.28109662,30.99919922,33.19340662,1.309376127
40.04748099,21.28603037,30.98842448,33.19499175,1.310688747
40.04988429,21.29355815,30.93529297,33.37930941,1.312207636
40.05380077,21.30245925,30.9111263,33.33607911,1.312920201
40.03564253,21.30134025,30.83969401,33.51719265,1.314151564
40.04454363,21.3083594,30.77033203,33.92389486,1.315570444
40.04587879,21.30749472,30.74904948,33.38682879,1.31738311
40.03475242,21.32509346,30.70567708,33.52265079,1.318639475
40.04400956,21.32784009,30.66889974,33.8442341,1.320089608
40.03831286,21.34538796,30.64917318,34.47904874,1.321227212
40.02905572,21.37280334,30.52426432,35.45400671,1.322633591
40.02923374,21.39152107,30.48180339,35.77093801,1.324177482
40.02789858,21.41868213,30.42333984,36.08148238,1.325440098
40.0377788,21.44080771,30.35192708,36.49349689,1.326871479
40.02683045,21.46954554,30.0855013,37.34714912,1.32830286
40.0337733,21.51079576,30.06100911,37.63393511,1.329496719
40.02148979,21.55265634,29.98370443,38.07311642,1.330678077
40.0174843,21.59451692,29.78171875,38.74417571,1.331771927
40.02095572,21.62310216,29.69211589,38.99951081,1.332515745
40.01249968,21.6744742,29.74076823,38.840346,1.33365335
40.02602935,21.70661987,29.68217448,38.79780289,1.334578434
39.98900079,21.79288421,29.58145182,38.88650682,1.335672284
40.0174843,21.78850996,29.56432943,38.87549008,1.335834799
39.80421403,22.03896137,29.52113281,39.3991682,1.337553707
40.00297551,21.90391903,29.4164388,40.01540765,1.33792249
39.90292719,22.04735383,29.37087891,40.32013309,1.33944138
40.01837441,21.9874876,29.3734375,40.2720237,1.33966015
39.95081509,22.10513466,29.33505208,40.50851611,1.341097781
39.99621068,22.11403576,29.29029948,40.72841145,1.341685335
39.98819969,22.18254877,29.2969987,40.80452388,1.342435404
39.98277002,22.25731797,29.27065755,40.96827217,1.343460497
39.96888431,22.32359299,29.28552734,41.12807804,1.344510594
39.95793596,22.39368276,29.28775391,41.05858173,1.345960726
39.96496783,22.45070064,29.22009115,41.29841514,1.347954659
