@relation 'Sensor Response'
@attribute ﻿In_Temperature numeric
@attribute In_Humidity numeric
@attribute Out_Temperature numeric
@attribute Out_Humidity numeric
@attribute SP-11-00 numeric
@data
38.07437502,23.80972,27.21901693,34.81247536,1.208335626
37.98322779,23.84384934,27.28959635,34.79884135,1.202553847
37.97405966,23.77681137,27.26048177,34.98153813,1.198953517
38.03948272,23.6572315,27.41654948,34.93465309,1.196584551
38.1196816,23.526716,27.46127604,35.0338457,1.195284432
38.11327281,23.47544569,27.58753255,35.12108432,1.191615346
38.13410137,23.40678009,27.60825521,35.29159017,1.188815089
38.18012004,23.31446301,27.7302474,35.55097456,1.186289858
38.23210244,23.23008062,27.82719401,35.54706397,1.184058404
38.22453651,23.19584955,27.70646484,36.02572596,1.18128315
38.26396836,23.12097861,27.83731771,35.95989635,1.178757919
38.2683299,23.08242415,27.73776042,36.02203089,1.175945161
38.28995956,23.03003484,27.96015625,35.72381318,1.172613606
38.36214745,22.93044429,28.00248047,35.77522385,1.170432156
38.4510694,22.81900257,28.20223958,35.86049669,1.167844419
38.56722871,22.69184405,28.23154948,35.53239832,1.166225521
38.68045065,22.55731034,28.36570964,34.89144335,1.164281593
38.79901325,22.42292922,28.48032552,34.23031609,1.162881465
38.91303629,22.27588312,28.69632812,34.32603879,1.160712516
39.03907581,22.15462476,28.76747396,34.08915483,1.159306138
39.13173622,22.04954096,28.67942057,33.61741889,1.15703718
39.22279444,21.93443707,28.94942057,33.37451404,1.155105753
39.31029221,21.8231988,28.93485026,33.27401906,1.153330591
39.40580097,21.70997686,29.10120443,33.21231391,1.15158043
39.52738994,21.57422243,29.22884766,33.05208331,1.150430325
39.6447954,21.45581242,29.45760417,32.78620011,1.14928647
39.78712393,21.30042471,29.40289714,31.42676374,1.148336383
39.9201063,21.13282979,29.37514323,30.24467117,1.147242533
40.01321177,21.01818367,29.79509115,30.05065866,1.145542378
40.02264693,20.97276265,29.96403646,30.40147909,1.138704251
40.01614913,20.95440096,30.1158138,31.14846774,1.131184813
40.00965133,20.92749421,30.05690104,31.28416049,1.126615645
39.92918542,20.9735256,30.17630859,30.68439991,1.118858685
40.01561507,20.87800412,30.25188151,30.65482563,1.117596069
39.93149971,20.90979375,30.31799479,29.74471078,1.108726507
40.02309199,20.80069174,30.41098958,29.42012848,1.106920092
39.90969202,20.86086315,30.41013672,29.82326197,1.098063031
40.01677221,20.74703085,30.46947917,29.01341394,1.096675404
39.91218433,20.78675517,30.51448568,28.9155236,1.089080958
40.02772056,20.66941329,30.53471354,28.52670322,1.087530816
39.90452939,20.72465095,30.52889974,28.77152428,1.081173984
40.02505023,20.58564126,30.49360026,28.89810664,1.080961465
39.91823707,20.62846825,30.59501953,28.89099532,1.075535968
40.03021286,20.50837975,30.61401693,28.89838662,1.074285854
39.90524147,20.57750312,30.57551432,29.43576571,1.069941706
40.02869968,20.45064978,30.54791667,29.42601952,1.070810536
39.89767554,20.53472699,30.49325521,29.36913126,1.066341376
40.02745352,20.39536126,30.44340495,30.266021,1.068841605
39.87408764,20.49937692,30.39164063,30.34860841,1.063928656
40.0207777,20.36011292,30.36749349,30.02115744,1.06834781
39.85975687,20.46122937,30.26886719,30.24011842,1.063409858
