@relation 'Sensor Response'
@attribute In_Temperature numeric
@attribute In_Humidity numeric
@attribute Out_Temperature numeric
@attribute Out_Humidity numeric
@attribute TGS2602-B00 numeric
@data
39.08464942,26.62226291,28.37701823,47.28955416,0.936554494
39.10645711,26.62633199,28.41759115,46.89602104,0.938673438
39.14348567,26.62734925,28.52072917,46.5393174,0.940861138
39.2103329,26.59042242,28.69379557,45.72174165,0.94328011
39.27629002,26.55761552,28.83598958,44.98451708,0.945992858
39.32711528,26.52155337,28.82158203,44.78860893,0.947355483
39.3694845,26.50568399,28.86991536,44.48709502,0.948624349
39.40384273,26.4820325,28.89711589,44.30460627,0.949911967
39.43802294,26.47572544,28.92509115,44.06129523,0.951649626
39.47407238,26.45736375,28.94632813,43.72615239,0.952849736
39.49178556,26.44708934,28.99067708,43.31213226,0.952493453
39.51154599,26.44083314,29.01569661,42.80497094,0.953324779
39.52979324,26.43691666,29.02804688,42.63096392,0.953412288
39.54821851,26.4264388,29.02031901,41.72406973,0.953712315
39.5205361,26.46626485,28.98226563,41.96987365,0.952468451
39.49961852,26.48279545,28.97356771,42.3840713,0.95125584
39.49320974,26.50456499,29.01208984,42.18500677,0.950449516
39.49116248,26.51499199,28.96929688,41.38560389,0.950086983
39.46072073,26.53579512,28.87901693,41.5246417,0.948668103
39.42805371,26.54810407,28.85690755,41.33250681,0.948511839
39.39182625,26.58579385,28.7835612,41.13923895,0.946324139
39.35105923,26.6053254,28.75480469,41.50825618,0.944498971
39.30664276,26.6390987,28.62645182,41.74005664,0.943923919
39.27005926,26.6641235,28.61736979,41.75384956,0.942386278
39.21540653,26.70237278,28.52964844,41.92998055,0.94033609
39.16840874,26.72017497,28.40285807,41.63629739,0.938060882
39.11215381,26.74082551,28.40748698,41.87210871,0.937004535
39.06275273,26.7768368,28.31771484,41.90674343,0.934398047
39.02501208,26.79926757,28.27901042,41.64880848,0.932697891
38.99323517,26.81528954,28.2226237,41.6458476,0.931091494
38.94160881,26.84311182,28.13644531,41.47200648,0.929603858
38.85918466,26.88395514,28.09707682,41.40248554,0.926578581
38.78601765,26.92479845,27.98554036,41.90875253,0.92470966
38.73893085,26.94656799,27.86611328,41.94736254,0.923240775
38.69762977,26.97428855,27.8285612,42.09781822,0.921246843
38.63986165,26.99193815,27.73021484,42.55273589,0.919309165
38.59428804,27.0036876,27.72799479,42.5395486,0.052598566
38.53367157,27.04641286,27.7235612,42.65567047,0.080163589
38.47439027,27.08278019,27.69102214,42.6540184,0.10934126
38.42107271,27.1102973,27.64028646,42.66374775,0.139787798
38.3520002,27.15993998,27.5724349,42.7391048,0.171034409
38.28969253,27.18832176,27.47289714,43.00788902,0.202999835
38.23058925,27.23755754,27.42253255,42.98287246,0.283088418
38.15065741,27.28775972,27.24520182,43.25810729,0.312534863
38.09235523,27.32829786,27.22722005,43.29016162,0.346606733
38.02844536,27.38577351,27.20017578,43.19784929,0.38087237
37.9475344,27.44350347,27.14103516,43.21981612,0.414325433
37.8842476,27.4887719,27.01445964,43.33591303,0.447140937
37.81659927,27.5304799,27.02370443,43.26666784,0.478362545
37.75384655,27.57656214,26.99989583,43.23383691,0.509184117
37.70515755,27.588159,26.94317708,43.27613096,0.539180613
37.66830701,27.60351975,26.89366536,43.36607217,0.567558212
37.65735866,27.58602274,26.92605469,43.24140867,0.595817049
37.6503268,27.57483279,26.92176432,43.21508601,0.622219466
37.6633224,27.52819104,27.00143229,43.08423012,0.647296762
37.67845426,27.48414333,27.05572917,43.000274,0.672061529
37.70658172,27.43333079,27.05246745,43.08677135,0.694563589
37.73737952,27.37977162,27.07902995,43.09352045,0.716709367
37.77761247,27.30983444,27.1688151,42.95332485,0.737417513
37.83368938,27.22514687,27.22089844,42.90280724,0.75726933
37.89261463,27.15205615,27.3308724,42.83700445,0.7755085
37.95848274,27.06975916,27.41294922,42.73560823,0.793166367
38.03067063,26.97886625,27.57897786,42.3115072,0.809611622
38.09511457,26.89351746,27.73929036,42.02587661,0.824694253
38.1611607,26.81905343,27.82463542,41.97191799,0.839589367
38.21180794,26.75155769,27.80513672,41.94531399,0.852603058
38.24865848,26.69515017,27.84467448,41.87360024,0.865047948
38.2894255,26.63904784,27.77720052,41.93730794,0.876549
38.33535515,26.5803006,27.83783203,41.80802044,0.887431247
38.39659469,26.50156405,27.94422526,41.5646477,0.897575926
38.45160347,26.43503471,27.98265625,41.53595682,0.907214308
38.51328806,26.35172045,28.02182943,41.32015226,0.916140125
38.57826607,26.27186491,28.19404297,40.70421014,0.924353377
38.64724956,26.18951705,28.2826237,40.37191901,0.932229098
38.72406602,26.09974314,28.35197266,39.32280974,0.939692281
38.7985682,25.99252308,28.43439453,39.36890185,0.946292886
38.88499784,25.89018591,28.51695964,38.72729259,0.952405945
38.97374177,25.79232471,28.60002604,38.47238463,0.957937702
39.06026042,25.69278503,28.70746745,38.30984424,0.963238187
39.1437527,25.58973576,28.77826823,37.3794682,0.967719847
